frequency,dataset_size,horizon,model,smape,mae,mse,latency_ms,size_mb,compression_ratio,smape_impact_pct
Quarterly,24000,8,PyTorch,11.2244,617.0875,1887804.5000,1.51,0.29,1.00,0.00
Quarterly,24000,8,ONNX_FP32,11.2244,617.0875,1887804.5000,1.01,0.35,0.83,-0.00
Quarterly,24000,8,ONNX_INT8,11.1579,613.0912,1886498.2500,3.19,0.18,1.61,-0.59
Weekly,359,13,PyTorch,10.5624,389.2884,577511.8750,1.73,0.32,1.00,0.00
Weekly,359,13,ONNX_FP32,10.5624,389.2884,577512.0000,1.51,0.38,0.84,-0.00
Weekly,359,13,ONNX_INT8,10.5190,389.2638,576911.7500,4.12,0.20,1.60,-0.41
Monthly,48000,18,PyTorch,10.8448,519.1946,1643907.2500,2.05,0.32,1.00,0.00
Monthly,48000,18,ONNX_FP32,10.8448,519.1946,1643907.2500,1.11,0.38,0.84,-0.00
Monthly,48000,18,ONNX_INT8,10.8464,519.3577,1645230.0000,4.00,0.19,1.68,0.01
Daily,4227,14,PyTorch,3.8587,232.4030,455978.8750,1.73,0.33,1.00,0.00
Daily,4227,14,ONNX_FP32,3.8587,232.4031,455978.9375,1.13,0.39,0.85,-0.00
Daily,4227,14,ONNX_INT8,3.8570,232.2554,455921.6250,4.61,0.20,1.65,-0.04
