Variable,Original Prediction RMSE,Ensemble Mean RMSE,Bias Corrected Prediction RMSE
geopotential,38.621452,38.674618,37.954308805946006
temperature,0.44250876,0.44276133,14.338494152687435
total_precipitation_6hr,0.00064075424,0.0006405689,0.0006308000618375191
2m_temperature,0.56810117,0.567897,0.5661486645950762
u_component_of_wind,1.2251664,1.2246057,1.2244723433792641
vertical_velocity,0.097928084,0.09788871,0.09784968988250821
10m_v_component_of_wind,0.6404212,0.6403906,0.6401864308845876
10m_u_component_of_wind,0.6309503,0.6306369,0.630058314637392
specific_humidity,0.0002246993,0.00022462368,0.00022460758933054488
v_component_of_wind,1.2409312,1.2404138,1.2401174881414854
mean_sea_level_pressure,42.07163,42.036373,660.5779494753452
