Variable,Original Prediction RMSE,Ensemble Mean RMSE,Ensemble Median RMSE,Ensemble Trimmed Mean RMSE
geopotential,38.621452,38.674618,38.650883,38.684
temperature,0.44250876,0.44276133,0.44262406,0.4427991
total_precipitation_6hr,0.00064075424,0.0006405689,0.00064066483,0.0006405923
2m_temperature,0.56810117,0.567897,0.5679281,0.5678956
u_component_of_wind,1.2251664,1.2246057,1.2245954,1.2246324
vertical_velocity,0.097928084,0.09788871,0.09789289,0.09789031
10m_v_component_of_wind,0.6404212,0.6403906,0.64042556,0.6403701
10m_u_component_of_wind,0.6309503,0.6306369,0.63065195,0.63062423
specific_humidity,0.0002246993,0.00022462368,0.00022463352,0.00022462421
v_component_of_wind,1.2409312,1.2404138,1.2404213,1.2404372
mean_sea_level_pressure,42.07163,42.036373,42.037094,42.042843
