Variable,Original Prediction RMSE,Ensemble Members = 2 RMSE,Ensemble Members = 5 RMSE,Ensemble Members = 10 RMSE,Ensemble Members = 15 RMSE
geopotential,38.621452,38.697,38.667446,38.6587,38.6848
temperature,0.44250876,0.4430524,0.44280928,0.44276777,0.4427058
total_precipitation_6hr,0.00064075424,0.00064082106,0.0006402911,0.000640609,0.00064067927
2m_temperature,0.56810117,0.56798524,0.5678553,0.56789863,0.56786656
u_component_of_wind,1.2251664,1.2251276,1.2246144,1.2246277,1.2244622
vertical_velocity,0.097928084,0.09789958,0.09789246,0.09789402,0.097900115
10m_v_component_of_wind,0.6404212,0.640548,0.64042014,0.64036155,0.64034027
10m_u_component_of_wind,0.6309503,0.63068926,0.6306362,0.63064104,0.6306825
specific_humidity,0.0002246993,0.00022464662,0.00022461524,0.00022461211,0.0002246085
v_component_of_wind,1.2409312,1.2409979,1.2405523,1.24038,1.2403316
mean_sea_level_pressure,42.07163,42.066586,42.05031,42.03512,42.049084
